Title,Author,Imprint,Subject,Shelf Location,Held,Catalogued - Syd,Catalogued - Bri
Sexuality &  space,"Colomina, Beatriz (ed)","New York: Princeton Architectural Press, 1992",Sexuality in Art,720.1 SEX,Sydney,12/01/2017,
Shack: in praise of an Australian icon,"Griffiths, Simon","Camberwell, Vic. : Lantern, 2010",Dwellings - Australia,728.10994 GRI,Brisbane,,7/02/2011
Shadows in the mist: Australian Aboriginal myths in paintings,"Roberts, Dale|Roberts, Ainslie","Sydney: Art Australia, [1989] 2021",Aboriginal Australians - Art|Aboriginal Australians - Legends|Aboriginal Australians - Dreamtime,759.994 ROB,Brisbane|Sydney,3/01/2022,3/01/2022
Shane Thompson: making sub-tropical architecture,,"Milan: l'Arca Edizioni, 2003","BVN Architecture (Bligh Voller Nield)|Architecture - Australia|Architecture, Modern - 21st Century|Thompson, Shane",720.92294 THO,Brisbane|Sydney,2/11/2005,9/08/2017
Shaping Sydney : public architecture and civic decorum,"Johnson, Chris","Sydney: Hale & Iremonger, 1999",Urban Planning - Sydney|Public Buildings - Sydney - History|Historic Buildings - NSW,711.4099441 JOH,Sydney,22/02/2006,
Shooting space: architecture in contemporary photography,"Redstone, Elias","London: Phaidon, 2014",Architectural Photography,779 SHO,Sydney,3/05/2015,
Shop Architects: out of practice,"Holden, Kimberley (et al)","London: Thames & hudson, 2012",Shop Architects,920.922 SHO,Brisbane,,9/23/2021
Shopping centres and malls : 3,,"New York: Retail Reporting Corporation, 1990",Retail Design|Shopping Centres|Shops,725.21 SHO,Sydney,7/08/2006,
"Showtime : Allianz Arena, Munich Germany",,,Herzog & de Meuron|Stadiums - Football|Stadiums - Germany,725.8043 ALL Brochure,Sydney,5/07/2006,
Showtime: a history of the Brisbane Exhibition (Ekka),"Scott, Joanne|Laurie, Ross","St Lucia, Qld: University of Queensland Press, 2008",,630.749431 SCO,Brisbane,,12/09/2008
Shuhei Endo : paramodern architecture,"Suzuki, Hiroyuki","Milan : Electaarchitecture, 2003","Architects - Japan|Architecture - Japan|Endo, Shuhei|Roofs|Steel in Architecture",720.952 END,Brisbane,,9/08/2017
Signage systems & information graphics: a professional sourcebook,"Uebele, Andreas","New York: Thames & Hudson, 2007",Graphic Art|Signs and Symbols|Signage - Pictograms|Signage - Wayfinding Systems,741.6 UEB,Sydney,18/01/2010,
Signage: spatial orientation,"Kling, Beate|Kruger, Torsten","Germany: Detail, 2013",Signage - Wayfinding Systems|Signage - Statutory,741.6 KLI,Sydney,5/20/2013,
Sigurd Lewerentz,"Flora, Nicola (ed)","London: Phaidon Press, 2012","Lewerentz, Sigurd",720.92 LEW,Brisbane,,2013-Dec-03
Sirius,"Dunn, John|Peake, Ben|Piscopo, Amiera","Sydney: Piper Press, 2017","Sirius Apartment Building, Sydney - History",728.314 099441 DUN,Sydney,15/05/2018,
"Site matters: design concepts, histories, and strategies","Burns, Carol (ed)","New York : Routledge, 2005",Building Sites|Architectural Practice,720.28 BUR,Sydney,11/24/2014,
Skyscraper: designs of the recent past and for the near future,"Ho¨weler, Eric","London: Thames & Hudson, 2003",Skyscrapers|Office Buildings,720.483 HOW,Sydney,11/03/2009,
Skyscrapers,"Van Uffelen, Chris","[Berlin]: Braun, 2012",Skyscrapers|Office Buildings,725.2 VAN,Sydney,9/08/2017,
Skyscrapers : a history of the world's most famous and important skyscrapers,"Dupre, Judith","New York: Black Dog and Leventhal, 1996",Skyscrapers,725.2 DUP,Brisbane,,Jan 97 (purchased JJV)
Slides,Atlantics,"[Germany]: Atlantics, [nd]",Playgrounds|Play Spaces|Play Slides|Water Slides,711.558 ATL,Sydney,21/03/2018,
Slow cities: conquering our speed addiction for health and sustainability,"Tranter, Paul|Tolley, Rodney","Amsterdam: Elsevier, 2020",Transport|Urban Planning,388.4 TRA,Sydney,1/06/2021,
Small pieces loosely joined : a unified theory of the web,"Weinberger, David","Cambridge, Mass. : Perseus Pub., 2003",Internet - Social Aspects|Information Society,303.483 WEI,Brisbane,,12/05/2009
Small scale: creative solutions for better city living,"Linn, Robert|Moskow, Keith","New York: Princeton Architectural Press, 2010",Architecture and Society|Public Spaces,724.7 MOS,Sydney,9/08/2017,
Smart and sustainable homes: design objectives,,"Queensland : Department of Public Works, c2008",Environmentally Sustainable Design (ESD),720.472 DES,Brisbane,,25/11/2008
Smart and sustainable homes: designing for Queensland's climate,,"Queensland : Department of Public Works, c2008",Environmentally Sustainable Design (ESD),720.472 DES,Brisbane,,25/11/2008
Smart Apartments,,"Barcelona;Spain: Loft Publications, 2008",Apartments|Apartment Buildings,728.31 SMA,Brisbane|Sydney,10/07/2017,9/08/2017
Social design in museums: the psychology of visitor studies - Collected essays Volume two,"Bitgood, Stephen","Edinburgh: Museums Etc, 2011",Museums,727.6 BOT,Sydney,8/06/2012,
Social media in action,,"San Diego, CA: Watermelon Books, 2012",Internet Marketing|Social Media|Social Media - Business|Online Social Networking|Social Networks,302.23 WAL,Sydney,8/28/2012,
Soft city: building density for everyday life,"Sim, David","London: Island Press, 2019",City Planning|Urban Density|Urban Planning,307.16 SIM,Sydney,15/07/2020,
"Solar architecture : strategies, visions, concepts","Schittich, Christian (ed)","Basel, Switzerland: Birkhauser, 2003","Architecture, Modern - 20th Century|Environmentally Sustainable Design (ESD)|Solar Energy",720.47 SCH,Sydney,9/08/2017,
Solar energy in architecture and urban planning,"Herzog, Thomas","Munich: Prestel, 1996",Solar Energy|Urban Planning,333.7 HER,Sydney,9/08/2017,
Solid states: concrete in transition,"Bell, Michael|Buckley, Craig","New York, N.Y. : Princeton Architectural Press, c2010",Concrete Construction,721.0445 BEL,Brisbane,,28/02/2011
"Solid, safe, secure: building archives repositories in Australia","Ling, Ted","Canberra: National Archives of Australia, 1998",Archives,Archives SYD01511322,Sydney,12/21/2010,
"Solomon R Guggenheim Museum, New York","Raeburn, Ray (ed)","New York: Guggenheim Foundation, Horizon Press, 1960","Architects - USA|Architecture, Modern - 20th Century|Wright, Frank Lloyd",720.92 WRI,Sydney,7/29/2014,
Solutions for a modern city: Arup in Beijing,,"London: Black Dog, 2008",Arup|Olympic Games - China - Beijing|China - Building and Construction|Olympic Games - Architecture,720.95 ARU,Brisbane|Sydney,,27/02/2009
Solutions for a sustainable future,"Tate, Alan","Sydney: Focus Publishing, 2004",Environmentally Sustainable Design (ESD),720.47 TAT,Brisbane,14/11/2006,
Songlines: the power and promise,"Neale, MargoLynne","Melbourne: Thames & Hudson, 2020",Aboriginal Australians - History|Indigenous Australians,305.89915 SON,Brisbane|Sydney,15/12/2020,15/12/2020
Sound materials: a compendium of sound absorbing materials for architecture and design,"Adams, Tyler","Amsterdam: Frame Publishers, 2016",Acoustics|Building Materials - Sound Absorbing,690 ADA,Sydney,3/11/2020,
Souvenir of Canberra,"Parish, Steve","Sydney: The Author, 1997",Canberra - Pictorial Works|Australia - Travel,919.471047 PAR,Sydney,14/12/2006,
Spa,"Arieff, Allison|Burkhardt, Bryan","London: Taschen, 2005",Health Resorts|Spas,725.73 ARI,Brisbane|Sydney,8/11/2005,2006
Space and learning : lessons in architecture 3,"Hertzberger, Herman","Rotterdam: 010 Publishers, 2008",Architecture and Children|Educational Buildings,727.29 HER,Brisbane|Sydney,21/05/2009,9/08/2017
Space craft 2: more fleeting architecture and hideouts,"Klanten, Robert|Feireiss, Lukas","Berlin : Gestalten Verlag, 2009",Exhibition Centres|Houses|Pavilions|Temporary Structures,720.92 KLA 2009,Brisbane|Sydney,9/08/2017,1/04/2009
Space craft: fleeting architecture and hideouts,"Klanten, Robert|Feireiss, Lukas","Berlin : Gestalten Verlag, 2007",Exhibition Centres|Houses|Pavilions|Temporary Structures,720.92 KLA,Brisbane|Sydney,9/08/2017,21/04/2009
Space graphysm,"Masaaki, Hiromura","Amsterdam: BIS Publishers, 2003",Design and Decoration|Graphic Design|Industrial Design,741.6 MAS,Sydney,26/11/2008,
Space is the machine : a configurational theory of architecture,"Hillier, Bill",London: Cambridge: 1996,Architectural Theory|Architecture and Society,720.1 HIL,Sydney,28/02/2006,
Space planning guidelines,Tertiary Education Facilities Management Association (TEFMA),,,727.30994 TEFMA,Sydney,8/13/2015,
Space to work: new office design,"Myerson, Jeremy|Ross, Philip","London: Laurence King Publishing, 2006",Office Fitouts|Workplace Design,725.23 MYE,Brisbane|Sydney,21/02/2007,5/02/2007
Spaces for innovation: the design and science of inspiring environments,"Groves, Kursty|Marlow, Oliver","Amsterdam: Frame Publishers, [2016]",Office Layout,725.23 GRO,Brisbane|Sydney,18/10/2016,27/10/2016
SPA-DE: space & design: international review of interior design Vol 8: Stylistic and decorative tendencies,,"Tokyo: Rikuyosha, 2007",Interior Design|Graphic Design,729 SPA,Brisbane,,18/09/2008
Spas,,"Switzerland: Rotovision, 2007",Spas,725.73 SPA,Brisbane,,20/11/2007
"Special issue : Masters of light. first volume., twentieth-century pioneers","Plummer, Henry","Tokyo : A+U Publishing, 2003",Light in Architecure|Religious Buildings,728.28 PLU,Sydney,9/08/2017,
Specifying trees : a guide to assessment of tree quality,"Clark, Ross|Construction Information Systems Australia","Sydney: NATSPEC, 2003",Gardens|Landscape Design|Trees - Australia,582.16 CLA,Sydney,21/02/2006,
Splendidly fantastic: architecture and power games in China,"Lovell, Julia","[Moscow]: Strelka Press, 2012",,Strelka Press,Sydney,3/10/2015,
Sport and recreation access for all : a guide to the design of accessible indoor and outdoor recreation and sporting facilities,Victoria. Department of Sport and Recreation,"Melbourne: Sport & Recreation Victoria, [199?]",Disabled Access|Sports Buildings - Access|Sports Buildings - Australia,725.8 SPO,Brisbane|Sydney,23/02/2006,9/08/2017
Sporting spaces 1 : a pictorial review of sporting facilities,,"Melbourne: Images Publishing Group, 1999",Sports Buildings|Stadiums|Aquatic Centres|Basketball Courts|Gymnasiums,725.8 SPO,Sydney,23/02/2006,
Sports architecture,"Sheard, Rod","London: Spon Press, 2001",Sports Buildings - Design and Construction|Stadiums,725.8 SHE,Brisbane,,Nov-00
Sports architecture,,"Hong Kong: Design Media Publishing, 2012",Sports Buildings|Stadiums|Swimming Pools|Leisure Centres|Recreational Facilities|Tennis Centres|Sports Centres|Sports Facilities,725.8 SPO,Sydney,4/15/2013,
Sports buildings design mamual,"Zeng, Tao",,Sports Buildings - China,Reference,Sydney,25/05/2005,
Sports facilities,"Cerver, Francisco Asensio (ed)","Spain: [np], [nd]",Archery Fields|Francisco Asensio Cerver|Gymnasiums|Hockey Fields|Ice Hockey Rinks|Sports Buildings|Sports Facilities|Stadiums,725.8 SPO,Sydney,2/05/2006,
Sports facilities in Finland 1980-2000,"Kuosmo, Kari (ed)","Helsinki, Finland: Rakennustieto Oy / Building Information, 2000",Architecture - Finland|Sports Buildings - Finland,725.80489 SPO,Sydney,11/10/2007,
Sports facilities: leisure and movement in urban space,"Hofmeister, Sandra (ed)","Munich: Detail, 2019",Sports Facilities|Sports Buildings,725.8 SPO,Sydney,15/08/2019,
"Sports fields: design, construction and maintenance","Puhalla, Jim","Hoboken, N.J.: Wiley, SportsTurf Managers Association, 2010",Sports Grounds|Athletic Facilities|Turf,725.827 PUH,Sydney,3/17/2011,
"Sports stadia after Hillsborough : papers presented at RIBA Seminar , March 1990",,"London: RIBA, 1990",Stadiums - Safety,725.8043 SPO,Sydney,22/02/2006,
Springboard in the pond : an intimate history of the swimming pool,"Leeuwen, Thomas A P van","US: MIT, 1998",Water and Architecture|Swimming Pools - History,725.74 LEE,Sydney,22/02/2006,
"SR2 Systems Reef 2.0: inspired by nature, shaped for air, designed for change","BVN|UTS University of Technology|Titchkosky, Ninotschka|Bickerton, Chris|Schork, Tim|Page, Mitchell","Sydney: BVN, 2021",Air Diffusion|Robots|3D Printing|Waste Recycling|Single Use Plastics,629.89 SR2,Brisbane|Sydney,3/01/2022,3/01/2022
Stadia : a design and development guide,"John, Geraint|Sheard, Rod","Oxford: Architectural Press, 1997",Sports Buildings|Stadiums,725.8043 JOH,Brisbane,,8/09/2004
Stadia: the populous design and development guide,"John, Geraint|Sheard, Rod","London : Routledge, 2013",Sports Buildings|Stadiums,725.8043 JOH,Sydney,7/22/2013,
Stadium : the architecture of mass sport,,"Netherlands: NAi Places, 2000",Stadiums|Sports Buildings - Design and Construction,725.8043 STA,Sydney,22/02/2006,
Stadium engineering,"Culley, Peter|Pascoe, John","London: Thomas Telford, 2005",Stadiums,725.8043 STA,Sydney,22/02/2006,
Stadiums,,"Munich: Detail Magazine, 2005",Stadiums - Football|Stadiums - Germany,725.8043 DET,Brisbane|Sydney,2/08/2006,1/05/2007
Stair design,,"Cologne : Daab, 2006",Staircases|Stairs|Stairs - Designs and Plans,721.832 STA,Brisbane,,11/07/2008
Staircases,"Jiricna, Eva|Falkenberg, Haike","London: Laurence King & teNeues, 2001",Staircases|Stairs,721.832 JIR,Brisbane|Sydney,22/02/2006,9/08/2017
Staircases: selection and details,"Chueca, Pilar","Barcelona : Carles Broto i Comerma : Links, [2008]",Staircases|Stairs|Stairs - Designs and Plans,721.832 CHU 2008,Brisbane,,9/02/2009
Stairs,"Jansma, Rein","Amsterdam: Elfers, 1982",Staircases,721.832 JAN,Brisbane,,
Stairs 2,"San Pietro, Silvio|Gallo, Paola","Milan : Edizioni L'archivolto, 2006",Staircases|Stairs|Stairs - Designs and Plans,721.832 SAN,Sydney,9/08/2017,
Standsted Airport Passenger Terminal:technical studies,,,Airports,725.3 STA,Brisbane,,9/23/2021
Starck,"Philippi, Simone (ed)","Koln: Taschen, 2013","Starck, Philippe",729 STA,Sydney,6/14/2022,
Starck (Philipe),,"Koln: Taschen, 1991","Starck, Philippe",720.92 STA,Brisbane,,Feb-94
State Environmental Planning Policy SEPP (Educational Establishments and Child Care Facilities) 2017,,,State Environmental Planning Policies (SEPP),Reference,Sydney,,
State Environmental Planning Policy SEPP 65 : Design quality of residential flat development,NSW. Department of Urban Affairs and Planning (DUAP),"Sydney: DUAP, 2005",State Environmental Planning Policies (SEPP),Reference,Sydney,26/05/2005,
State Environmental Planning Policy SEPP No 56 : Sydney Harbour Foreshores and tributaries,NSW. Department of Urban Affairs and Planning (DUAP),"Sydney: DUAP, August 1998",State Environmental Planning Policies (SEPP),Archives SYD02543410,Sydney,26/05/2005,
State of environment report 2003/04,,,Environmental Responsibility|Urban Planning - Sydney,Reference,Sydney,22/08/2007,
Stay cool: a design guide for the built environment in hot climates,"Koch-Nielsen, Holger","London: Earthscan, 2002",Architecture and Climate|Architecture - Arid Regions|Tropical Architecture,720.47 KOC,Sydney,20/08/2009,
Steel architecture,,"Paris: Groupe Moniteur, 2011",Steel in Architecture,693 AMC,Sydney,6/02/2011,
Steel Awards Queensland 2007,Australian Steel Institute (ASI),"Australia: Australian Steel Institute, 2007",Steel in Architecture,693 STE,Brisbane,,27/11/2007
Steel design,,"Cologne ; New York : Daab, 2007",Steel|Steel in Architecture|Steel Structures,693 STE,Brisbane,,13/10/2008
Steel designers' handbook,"Gorenc, Branko","Sydney: UNSW Press, 2005",Steel Construction|Steel Structures,696 STE,Sydney,2/21/2013,
Steel: art design architecture,"Davis, Margaret Hancock (ed)",,Steel in Architecture,693 STE,Sydney,22/03/2017,
Stem for all,ASCD,,"STEM (Science, Technology Engineering and Mathematics)",727 STEM,Sydney,19/12/2016,
Steve Leung 60 30 20,,"Shenzen, China: Metto, 2017",Interior Designers|Steve Leung,729 LEU,Sydney,16/08/2018,
Steven Holl architect,"Frampton, Kenneth","Milan : Electaarchitecture, 2003","Architecture - Modern|Architecture - USA|Holl, Steven",720.92 HOL,Sydney,7/29/2014,
Steven Holl: architecture spoken,,"New York, NY : Rizzoli, 2007","Holl, Steven",720.92 HOL,Brisbane,,18/02/2009
Story of Sydney [as it has never been told],"Fisher, Rodney","Sydney: RAIA, 1983",Sydney - History,994.41074 STO,Sydney,7/05/2007,
Streets and patterns,"Marshall, Stephen","London: Spon Press, 2005",Streets|City Planning|Urban Planning,711.41 MAR,Brisbane|Sydney,24/10/2019,28/10/2019
Striking a balance: a retail policy for Canberra,,,,Archives SYD01511323,Sydney,12/22/2010,
Studies in tectonic culture: the poetics of construction in nineteenth and twentieth century architecture,"Frampton, Kenneth|Cava, John","Cambridge, Massachusetts: MIT Press, c1995","Architecture, Modern - 19th Century|Architecture, Modern - 20th Century|Symbolism in Architecture",724.5 FRA,Sydney,24/05/2010,
Studio Ongarato,,,Studio Ongarato|Branding|Design|Communication - visual|Graphic Design,745.2 ONG,Sydney,7/11/2019,
Study of Sydney's arts facilities commissioned by the Sydney City Council,"Frankham, Noel","Sydney: Sydney City Council, 1995",,Reference,Sydney,5/07/2005,
"Style manual for authors, editors and printers",,"John Wiley & Sons, 2002",Publishing|Printing|Writing,808.027 STY,Brisbane|Sydney,9/08/2006,9/01/2015
"Subtropical design in South East Queensland: a handbook for planners, developers and decision makers","Centre for Subtropical Design|Kennedy, Rosemary","Queensland University of Technology - Centre for Subtropical Design; Brisbane City Council, 2010",Land Use|Urban Planning - South East Queensland|Subtropical Design,307. 1 SUB,Brisbane,,4/05/2010
Sun and architecture,"Hoiting, Harry","Netherlands: Novem, 2000",Solar Energy|Sun Control|Lighting - Natural,721.0467 HOI,Sydney,7/08/2006,
"Sun, wind and light : architectural design strategies","Brown, G Z|DeKay, Mark","New York: John Wiley & Sons, 2001",Energy Conservation|Environmentally Sustainable Design (ESD)|Light in Architecure|Lighting|Sunlight|Ventilation,720.472 BRO,Brisbane,,27/02/2009
Sunshine and shade in Australasia,"Phillips, R O","Melbourne: CSIRO Publishing, 1992",Climate|Daylighting|Environmentally Sustainable Design (ESD)|Shade|Sunlight,721.0467 PHI,Brisbane|Sydney,3/08/2006,30/08/2006
Super structures : the world's greatest modern structures,"Parkyn, Neil","London: Merrell, 2004","Airports|Architecture, Modern - 20th Century|Bridges|Civil Engineering|Railway Stations|Roads|Stadiums|Structural Engineering|Tunnels",624.17 PAR,Sydney,2/11/2005,
Superb shops,"Broto, Carles (ed)","Barcelona: Links International, 2007",Retail Design|Retail Facilities|Shops,725.21 SUP,Sydney,29/01/2009,
SuperDutch : new architecture in the Netherlands,"Lootsma, Bart","London: Thames and Hudson, 2000",Architects - Netherlands|Architecture - Netherlands,720.948 LOO,Brisbane,,9/08/2017
Superlight: lightness in contemporary houses,"Richardson, Phyllis","London: Thames &  Hudson, 2014",Houses|Lightweight Construction|Sustainable Architecture|Environmentally Sustainable Design (ESD),720.47 RIC,Sydney,8/13/2015,
Superusers: design technology specialists and the future of practice,"Deutsch, Randy",,Architecture - Technological innovations|Architectural Design,720.285 DEU,Brisbane|Sydney,2/04/2019,8/07/2019
"Suspensions of perception: attention, spectacle, and modern culture","Crary, Jonathon","London: MIT Press, 1999",Perception,153.7 CRA,Sydney,11/27/2012,
Sustainable architecture : towards a diverse built environment,"Melet, Ed","Netherlands: NAI Places, 1999",Environmentally Sustainable Design (ESD) - Case Studies,720.47 MEL,Sydney,7/08/2006,
"Sustainable architecture and urbanism : concepts, technologies, examples","Gauzin-Muller, Dominique","Basil, Switzerland: Birkhauser, 2002",Environmentally Sustainable Design (ESD) - Case Studies|Urban Planning,720.47 GAU,Sydney,21/11/2006,
Sustainable architecture white papers,Earth Pledge Foundation,"New York: Earth Pledge Foundation, 2000",Environmentally Sustainable Design (ESD) - Case Studies,720.47 EAR,Sydney,3/08/2006,
Sustainable healthcare architecture,"Guenther, Robin|Vittori, Gail","New Jersey: Wiley, 2008",Environmentally Sustainable Design (ESD)|Healthcare Buildings|Hospitals - Design and Construction,725.51 GUE,Brisbane|Sydney,6/02/2008,17/01/2008
Sustainable house: living for our future,"Mobbs, Michael","Sydney: Choice Books, 1998",Environmentally Sustainable Design (ESD)|Housing,720.47 MOB,Brisbane|Sydney,3/08/2006,
Sustainable Sydney 2030: the vision,City of Sydney,,Sustainable Design|Environmentally Sustainable Design (ESD)|Urban Planning - Sydney,Archives SYD02543410,Sydney,5/05/2010,
Sustainable urbanism: urban design with nature,"Farr, Douglas","Hoboken, N.J. : Wiley, 2008",City Planning|Sustainable Design|Urban Planning,307.76 FAR,Sydney,7/31/2014,
"Sverre Fehn : works, projects, writings, 1949-1996","Norberg-Schulz, Christian|Postiglione, Gennaro","New York: The Monticelli Press, 1997","Architecture - Norway|Fehn, Sverre",720.92 NOR,Sydney,21/04/2009,
Swahili chic: living in style on the East African coast,"Jordan, Bibi","London : Thames &  Hudson, 2007",Interior Design|Interior Design - Africa,747.9676 JOR,Sydney,17/08/2010,
Swedish architecture in wood : the 2004 Timber Prize,,"Stockholm : Arvinius, 2004",Architecture - Sweden|Awards|Houses - Timber|Timber in Architecture,728.37 SWE,Sydney,1/11/2018,
Sweet sorrow: a beginner's guide to death,"Wakely, Mark","Melbourne: Melbourne University Press, 2008",Death,306.9 WAK,Brisbane|Sydney,1/11/2017,1/11/2017
Swiss made: new architecture from Switzerland,"Spier, Steven","London: Thames and Hudson, 2003",,720.9494 SPI,Sydney,11/18/2013,
Switch: how to change things when change is hard,"Heath, Chip|Heath, Dan","NY: Broadway Books, 2010",Change - Psychology|Organisational Change,303.4 HEA,Sydney,4/15/2013,
Sydney : history of a landscape,"Fromonot, Francoise|Thompson, Christopher","Paris: Vilo Publishing, 2000",Architecture - Sydney - History|Sydney Olympics 2000,720.99441 FRO,Sydney,22/02/2006,
Sydney Architecture : a guide,"Jahn, Graham|Bingham-Hall, Patrick","Sydney: Watermark Press, 1997",Sydney - History,720.99441 JAH,Sydney,22/02/2006,
Sydney by ferry and foot,"Gunter, John","Sydney: Kangaroo Press, 1995",Architecture - Sydney - History|Sydney - Pictorial Works,919.441 GUN,Sydney,9/08/2006,
Sydney downtown,"Dirks, Jo","Sydney: Kangaroo Press, 1993",Architecture - Sydney - History,919.441 DIR,Sydney,9/08/2006,
"Sydney faces, special places","Cottier, Keith (ed)","Sydney: RAIA, 1983",Sydney - History|Architecture - Sydney,720.99441 SYD,Sydney,5/07/2005,
Sydney Fish Market Masterplan,Property Services Group,"NSW: Government Printer, 1995",Urban Planning - Sydney,Archives SYD02543410,Sydney,25/05/2005,
Sydney Observatory : a conservation plan for the site and its structures,"Kerr, John Semple","Sydney: Museum of Applied Arts and Sciences, 1991",Historic Buildings - NSW|Conservation and Restoration,720.99441 KER,Sydney,4/01/2007,
Sydney on foot : the urban ecology of pedestrian circulation,Sydney City Council,"Sydney: Sydney City Council, July 1996",Pedestrians|Pedestrian Facilities|Public Spaces|Urban Planning - Sydney,711.43099441 SYD,Sydney,14/11/2005,
Sydney Opera House,"Kerr, John Semple","Sydney: Sydney Opera House Trust, 1993",Conservation and Restoration|Historic Buildings - NSW,720.99441 KER,Sydney,4/01/2007,
Sydney regional environmental plan (SREP) No 24 : Homebush Bay area,NSW. Department of Urban Affairs and Planning (DUAP),"NSW: South Sydney Council, 1994",Regional Environmental Plans (REP),Archives SYD02543410,Sydney,25/05/2005,
Sydney since the Opera House : an architectural walking guide,"Rayner, Michael|Rider Hunt|Royal Australian Institute of Architects (RAIA)","Sydney: Rider Hunt, 1990",Architecture - Sydney - History,919.441 RAY,Sydney,7/12/2006,
Sydney then & now,"Mackaness, Caroline|Butler-Bowdon, Caroline","San Diego, CA: Thunder Bay Press, 2005",Sydney - History|Sydney - Pictorial Works,919.441 MCK,Sydney,5/12/2007,
Synchronicity: the inner path of leadership,"Jaworski, Joseph","San Francisco: Berrett-Koehler, 1996",Leadership|Management|Organisational Behaviour|Team Skills Programme (TSP),658 JAW,Brisbane|Sydney,8/08/2006,19/11/2009
Tactile: high touch visuals,"Klanten, Robert|Ehmann, Sven|Hubner, Matthias","Berlin: Gestalten Verlag, 2007",Graphic Design|Tactile Graphics|Visual Communication|Graphic Artists|Digital Art,745.2 TAC,Brisbane,,28/05/2008
Tadao Ando,,"Tokyo: The Japan Architect, 1991","Ando, Tadao",720.92 AND,Brisbane,,
Tadao Ando: houses & housing 1,,"Japan: TOTO Shuppan, 2007","Ando, Tadao",720.92 AND,Brisbane,,22/09/2008
Takaharu + Yui Tezuka architecture catalogue,"Tezuka, Takaharu|Tezuka, Yui","To¯kyo¯ : TOTO Shuppan, 2006","Tezuka, Takaharu|Tezuka, Yui",720.92 TAK,Sydney,11/08/2016,
Takaharu + Yui Tezuka architecture catalogue 2,"Tezuka, Takaharu|Tezuka, Yui","To¯kyo¯ : TOTO Shuppan, 2009","Tezuka, Takaharu|Tezuka, Yui",720.92 TAK,Sydney,11/08/2016,
Takaharu + Yui Tezuka architecture catalogue 3,"Tezuka, Takaharu|Tezuka, Yui","Tokyo: TOTO Shuppan, 2015","Tezuka, Takaharu|Tezuka, Yui",720.92 TAK,Sydney,11/08/2016,
Take 2: housing design in indigenous Australia,"Memmott, Paul (ed)","Canberra: RAIA, 2003",Aboriginal Australians - Housing|Indigenous Housing,720.994 TAK,Brisbane|Sydney,12/09/2010,
Take 8: learning spaces: the transformation of educational spaces for the 21st century,"Newton, Clare (ed)|Fisher, Kenn (ed)","Canberra: RAIA, 2009",Educational Buildings,727 TAK,Brisbane|Sydney,1/12/2009,10/08/2017
Taking measures across the American landscape,"Corner, James|MacLean, Alex","New Haven: Yale University Press, 1996",Landscape Photography|USA - Pictorial Works,779 COR,Sydney,11/16/2011,
"Talking about Sydney: population, community and culture in contemporary Sydney","Freestone, Robert (ed)","Sydney: UNSW Press in association with the Historic Houses Trust and the Faculty of the Built Environment, UNSW, 2006",Sydney - Statistics|Sydney - Social Life  and Customs,307.76 099441 TAL,Sydney,12/03/2013,
Tall and supertall buildings: planning and design,"Tamboli, Akbar (ed)|Council on Tall Buildings and Urban Habitat (CTBUH)","New York: McGraw-Hill Education, 2014",Skyscrapers|High Rise Buildings|Tall Buildings,720.483 CTBUH,Brisbane,,9/30/2015
"Tall building security, resilience and protective design",Council on Tall Buildings and Urban Habitat (CTBUH),"Chicago: CTBUH, 2019",Tall Buildings|Skyscrapers|Facades,720.483 CTBUH,Brisbane|Sydney,28/01/2020,20/03/2019
Tall Buildings + Urban Habitat Volume 1,"Henry, Steven|Wood, Antony|Council on Tall Buildings and Urban Habitat (CTBUH)","Chicago: CTBUH, 2018",Tall Buildings|Skyscrapers,720.483 CTBUH,Brisbane|Sydney,29/04/2019,20/03/2019
Tall Buildings + Urban Habitat Volume 2,"Henry, Steven|Wood, Antony|Council on Tall Buildings and Urban Habitat (CTBUH)","Chicago: CTBUH, 2019",Tall Buildings|Skyscrapers,720.483 CTBUH,Brisbane|Sydney,14/01/2020,10/07/2019
Tangled destinies: National Museum of Australia,"Reed, Dimity (ed)","Melbourne: Images Publishing Group, 2002",Museums - Australia,727.6000 994 TAN,Sydney,11/03/2009,
"Tattersall's Club, Sydney, 1858-1983","Andersen, Joe","Canterbury, N.S.W.: Koorana,1985",Tattersalls Club - Sydney - History|Horse Racing - Australia,798.4 AND,Sydney,15/06/2021,
TC Beirne School of Law: a history,"White, Michael","St Lucia, Brisbane: TC Beirne School of Law, UQ, 2016","TC Beirne School of Law, University of Queensland|Law Schools",727.3 TCB,Brisbane,,22/03/2017
Technical standards for places of entertainment,Association of British Theatre Technicians,"Cambridge: Entertainment Technology, 2009",Safety|Theatres|Standards,725.80289 TEC,Brisbane,,19/12/2016
Technical standards for places of entertainment,"Association of British Theatre Technicians|Adams, Davis (ed)","Cambridge: Entertainment Technology, 2015",Safety|Theatres|Standards,725.80289 TEC,Sydney,12/01/2017,
"Technology of ecological building : basic principles, examples and ideas","Daniels, Klaus","Basel: Birkhauser, 1997",Environmentally Sustainable Design (ESD) - Case Studies,720.47 DAN,Sydney,7/05/2007,
"Temporary demountable structures : guidance on design, procurement and use",Institution of Structural Engineers,"London: IStructE, 2007",Grandstands|Portable Architecture|Sports Buildings|Temporary Structures,721 TEM,Sydney,11/10/2007,
